Name,x2011,y2006,2002,1996,1991,1986,1981
AIRPORT,3998,1611,441,308,224,190,347
BALBRIGGAN RURAL,15146,9615,4501,3454,2964,2471,1927
BALBRIGGAN URBAN,7530,6731,6631,5473,5414,5680,5582
BALDOYLE,6870,5942,6374,6739,6272,6345,6003
BALGRIFFIN,1642,911,590,603,568,565,657
BALLYBOGHIL,1020,950,859,702,665,638,570
BALSCADDEN,666,653,577,505,423,408,402
BLANCHARDSTOWN-ABBOTSTOWN,4863,4122,2537,1531,1603,1410,1545
BLANCHARDSTOWN-BLAKESTOWN,35970,32288,24404,15131,11905,9919,4696
BLANCHARDSTOWN-COOLMINE,10831,10774,9202,7969,8032,7813,4761
BLANCHARDSTOWN-CORDUFF,3799,4806,4346,4725,5112,5128,4988
BLANCHARDSTOWN-DELWOOD,5034,4955,4589,4235,4510,4431,4258
BLANCHARDSTOWN-MULHUDDART,3861,2785,1833,1245,1323,1085,68
BLANCHARDSTOWN-ROSELAWN,1678,1831,2043,2303,2434,2531,2502
BLANCHARDSTOWN-TYRRELSTOWN,2120,1559,1653,1473,1160,268,61
CASTLEKNOCK-KNOCKMAROON,18071,17115,14859,11095,8556,6399,3889
CASTLEKNOCK-PARK,5128,4395,4561,4840,4649,4071,3328
CLONMETHAN,785,625,605,492,427,415,389
DONABATE,8730,7600,6141,4320,3830,3402,3395
DUBBER,6330,3747,838,577,590,657,600
GARRISTOWN,1434,1182,1162,1060,981,986,906
HOLLYWOOD,1250,998,952,900,874,842,725
HOLMPATRICK,3218,3154,3328,3248,3168,3128,2740
HOWTH,8261,8196,8706,9008,9173,9327,9188
KILSALLAGHAN,2199,2081,2032,1877,1904,1915,1777
KINSALEY,8441,5526,3528,3282,3063,2013,799
LUCAN NORTH,1358,1163,338,340,317,298,345
LUSK,8814,7048,4131,3740,3503,3209,2723
MALAHIDE EAST,6769,6213,5281,6444,4866,4703,4525
MALAHIDE WEST,6270,6271,6315,5246,5964,5033,4720
PORTMARNOCK NORTH,4110,4588,5071,5582,5497,5430,4728
PORTMARNOCK SOUTH,3462,3522,3338,3706,3767,3709,3578
RUSH,9207,8280,6759,5433,4831,4493,3859
SKERRIES,8344,8175,7612,5704,5362,5213,4488
SUTTON,5605,5914,6203,6510,6697,6537,6227
SWORDS-FORREST,7737,12443,7679,7088,4846,4849,4264
SWORDS-GLASMORE,13868,7799,9797,7911,6638,4878,2121
SWORDS-LISSENHALL,9676,9072,6081,3222,2774,2491,2315
SWORDS-SEATOWN,6535,5934,4919,4425,3265,1927,983
SWORDS VILLAGE,2571,2514,2572,2300,2234,2169,2397
THE WARD,8181,5181,1308,806,575,576,605
TURNAPIN,1669,1723,1717,1861,1806,927,970
