CSO_Code,Name,Census_2006,Census_2002
4001,AIRPORT,66,27
4002,BALBRIGGAN RURAL,353,135
4003,BALBRIGGAN URBAN,275,225
4004,BALDOYLE,174,209
4005,BALGRIFFIN,18,19
4006,BALLYBOGHIL,16,18
4007,BALSCADDEN,12,15
4008,BLANCHARDSTOWN-ABBOTSTOWN,172,186
4009,BLANCHARDSTOWN-BLAKESTOWN,1243,755
4010,BLANCHARDSTOWN-COOLMINE,828,631
4011,BLANCHARDSTOWN-CORDUFF,311,303
4012,BLANCHARDSTOWN-DELWOOD,147,114
4013,BLANCHARDSTOWN-MULHUDDART,186,128
4014,BLANCHARDSTOWN-ROSELAWN,42,35
4015,BLANCHARDSTOWN-TYRRELSTOWN,125,38
4016,CASTLEKNOCK-KNOCKMAROON,447,292
4017,CASTLEKNOCK-PARK,71,60
4018,CLONMETHAN,19,14
4019,DONABATE,185,124
4020,DUBBER,139,40
4021,GARRISTOWN,17,18
4022,HOLLYWOOD,31,19
4023,HOLMPATRICK,60,72
4024,HOWTH,169,197
4025,KILSALLAGHAN,55,67
4026,KINSALEY,120,72
4027,LUCAN NORTH,14,2
4028,LUSK,206,119
4029,MALAHIDE EAST,107,103
4030,MALAHIDE-WEST,104,95
4031,PORTMARNOCK NORTH,80,94
4032,PORTMARNOCK SOUTH,78,79
4033,RUSH,254,180
4034,SKERRIES,258,222
4035,SUTTON,142,128
4036,SWORDS-FORREST,358,208
4037,SWORDS-GLASMORE,249,247
4038,SWORDS-LISSENHALL,324,157
4039,SWORDS-SEATOWN,105,96
4040,SWORDS-VILLAGE,95,94
4041,THE WARD,224,69
4042,TURNAPIN,48,35
